"";"igralci";"odigrane.tekme";"streli";"goli";"asistence";"tocke";"igralni.položaj";"datum.rojstva";"višina";"procent.strela"
"1";"Aaron Ekblad";81;170;12;27;39;"D";"1996-02-07";76;7,05882352941176
"2";"Adam Burish";20;22;1;2;3;"R";"1983-01-06";73;4,54545454545455
"3";"Adam Clendening";21;17;1;3;4;"D";"1992-10-26";72;5,88235294117647
"4";"Adam Cracknell";17;17;0;1;1;"R";"1985-07-15";74;0
"5";"Adam Henrique";75;127;16;27;43;"L";"1990-02-06";72;12,5984251968504
"6";"Adam Larsson";64;91;3;21;24;"D";"1992-11-12";75;3,2967032967033
"7";"Adam Lowry";80;104;11;12;23;"C";"1993-03-29";77;10,5769230769231
"8";"Adam McQuaid";63;60;1;6;7;"D";"1986-10-12";76;1,66666666666667
"9";"Adam Pardy";55;29;0;9;9;"D";"1984-03-29";76;0
"10";"Alec Martinez";56;103;6;16;22;"D";"1987-07-26";73;5,8252427184466
"11";"Aleksander Barkov";71;123;16;20;36;"C";"1995-09-02";75;13,0081300813008
"12";"Ales Hemsky";76;140;11;21;32;"R";"1983-08-13";72;7,85714285714286
